algorithm,episodes,alpha,gamma,epsilon,episode,reward,steps,reached
sarsa,600,0.1,0.99,0.1,353,9.2000,8,1
sarsa,600,0.1,0.99,0.1,354,9.2000,8,1
sarsa,600,0.1,0.99,0.1,355,9.2000,8,1
sarsa,600,0.1,0.99,0.1,356,9.2000,8,1
sarsa,600,0.1,0.99,0.1,357,9.0000,10,1
sarsa,600,0.1,0.99,0.1,358,8.1000,9,1
sarsa,600,0.1,0.99,0.1,359,9.2000,8,1
sarsa,600,0.1,0.99,0.1,360,9.0000,10,1
sarsa,600,0.1,0.99,0.1,361,9.0000,10,1
sarsa,600,0.1,0.99,0.1,362,8.1000,9,1
sarsa,600,0.1,0.99,0.1,363,9.2000,8,1
sarsa,600,0.1,0.99,0.1,364,9.2000,8,1
sarsa,600,0.1,0.99,0.1,365,9.2000,8,1
sarsa,600,0.1,0.99,0.1,366,9.2000,8,1
sarsa,600,0.1,0.99,0.1,367,9.2000,8,1
sarsa,600,0.1,0.99,0.1,368,9.2000,8,1
sarsa,600,0.1,0.99,0.1,369,7.0000,10,1
sarsa,600,0.1,0.99,0.1,370,9.2000,8,1
sarsa,600,0.1,0.99,0.1,371,8.1000,9,1
sarsa,600,0.1,0.99,0.1,372,9.2000,8,1
sarsa,600,0.1,0.99,0.1,373,9.2000,8,1
sarsa,600,0.1,0.99,0.1,374,9.2000,8,1
sarsa,600,0.1,0.99,0.1,375,8.1000,9,1
sarsa,600,0.1,0.99,0.1,376,8.8000,12,1
sarsa,600,0.1,0.99,0.1,377,9.2000,8,1
sarsa,600,0.1,0.99,0.1,378,8.1000,9,1
sarsa,600,0.1,0.99,0.1,379,9.2000,8,1
sarsa,600,0.1,0.99,0.1,380,7.0000,10,1
sarsa,600,0.1,0.99,0.1,381,9.2000,8,1
sarsa,600,0.1,0.99,0.1,382,9.0000,10,1
sarsa,600,0.1,0.99,0.1,383,8.1000,9,1
sarsa,600,0.1,0.99,0.1,384,9.2000,8,1
sarsa,600,0.1,0.99,0.1,385,9.2000,8,1
sarsa,600,0.1,0.99,0.1,386,9.2000,8,1
sarsa,600,0.1,0.99,0.1,387,9.2000,8,1
sarsa,600,0.1,0.99,0.1,388,9.2000,8,1
sarsa,600,0.1,0.99,0.1,389,9.2000,8,1
sarsa,600,0.1,0.99,0.1,390,9.0000,10,1
sarsa,600,0.1,0.99,0.1,391,9.2000,8,1
sarsa,600,0.1,0.99,0.1,392,9.2000,8,1
sarsa,600,0.1,0.99,0.1,393,9.2000,8,1
sarsa,600,0.1,0.99,0.1,394,9.2000,8,1
sarsa,600,0.1,0.99,0.1,395,7.9000,11,1
sarsa,600,0.1,0.99,0.1,396,9.2000,8,1
sarsa,600,0.1,0.99,0.1,397,9.2000,8,1
sarsa,600,0.1,0.99,0.1,398,9.0000,10,1
sarsa,600,0.1,0.99,0.1,399,9.2000,8,1
sarsa,600,0.1,0.99,0.1,400,9.2000,8,1
sarsa,600,0.1,0.99,0.1,401,7.0000,10,1
sarsa,600,0.1,0.99,0.1,402,9.2000,8,1
sarsa,600,0.1,0.99,0.1,403,7.0000,10,1
sarsa,600,0.1,0.99,0.1,404,8.1000,9,1
sarsa,600,0.1,0.99,0.1,405,8.1000,9,1
sarsa,600,0.1,0.99,0.1,406,8.1000,9,1
sarsa,600,0.1,0.99,0.1,407,9.2000,8,1
sarsa,600,0.1,0.99,0.1,408,9.0000,10,1
sarsa,600,0.1,0.99,0.1,409,8.1000,9,1
sarsa,600,0.1,0.99,0.1,410,9.2000,8,1
sarsa,600,0.1,0.99,0.1,411,8.1000,9,1
sarsa,600,0.1,0.99,0.1,412,9.2000,8,1
sarsa,600,0.1,0.99,0.1,413,9.2000,8,1
sarsa,600,0.1,0.99,0.1,414,9.2000,8,1
sarsa,600,0.1,0.99,0.1,415,9.2000,8,1
sarsa,600,0.1,0.99,0.1,416,9.2000,8,1
sarsa,600,0.1,0.99,0.1,417,9.2000,8,1
