algorithm,episodes,alpha,gamma,epsilon,episode,reward,steps,reached
qlearning,500,0.1,0.99,0.1,255,9.2000,8,1
qlearning,500,0.1,0.99,0.1,256,9.2000,8,1
qlearning,500,0.1,0.99,0.1,257,9.2000,8,1
qlearning,500,0.1,0.99,0.1,258,9.2000,8,1
qlearning,500,0.1,0.99,0.1,259,9.0000,10,1
qlearning,500,0.1,0.99,0.1,260,7.9000,11,1
qlearning,500,0.1,0.99,0.1,261,9.2000,8,1
qlearning,500,0.1,0.99,0.1,262,9.2000,8,1
qlearning,500,0.1,0.99,0.1,263,9.2000,8,1
qlearning,500,0.1,0.99,0.1,264,8.1000,9,1
qlearning,500,0.1,0.99,0.1,265,8.6000,14,1
qlearning,500,0.1,0.99,0.1,266,9.2000,8,1
qlearning,500,0.1,0.99,0.1,267,8.1000,9,1
qlearning,500,0.1,0.99,0.1,268,9.2000,8,1
qlearning,500,0.1,0.99,0.1,269,9.0000,10,1
qlearning,500,0.1,0.99,0.1,270,9.2000,8,1
qlearning,500,0.1,0.99,0.1,271,8.1000,9,1
qlearning,500,0.1,0.99,0.1,272,9.2000,8,1
qlearning,500,0.1,0.99,0.1,273,9.0000,10,1
qlearning,500,0.1,0.99,0.1,274,7.9000,11,1
qlearning,500,0.1,0.99,0.1,275,9.2000,8,1
qlearning,500,0.1,0.99,0.1,276,9.2000,8,1
qlearning,500,0.1,0.99,0.1,277,8.1000,9,1
qlearning,500,0.1,0.99,0.1,278,7.0000,10,1
qlearning,500,0.1,0.99,0.1,279,8.1000,9,1
qlearning,500,0.1,0.99,0.1,280,9.2000,8,1
qlearning,500,0.1,0.99,0.1,281,8.6000,14,1
qlearning,500,0.1,0.99,0.1,282,7.8000,22,1
qlearning,500,0.1,0.99,0.1,283,8.1000,9,1
qlearning,500,0.1,0.99,0.1,284,9.2000,8,1
qlearning,500,0.1,0.99,0.1,285,7.7000,13,1
qlearning,500,0.1,0.99,0.1,286,9.2000,8,1
qlearning,500,0.1,0.99,0.1,287,8.1000,9,1
qlearning,500,0.1,0.99,0.1,288,9.2000,8,1
qlearning,500,0.1,0.99,0.1,289,7.0000,10,1
qlearning,500,0.1,0.99,0.1,290,7.9000,11,1
qlearning,500,0.1,0.99,0.1,291,7.0000,10,1
qlearning,500,0.1,0.99,0.1,292,9.0000,10,1
qlearning,500,0.1,0.99,0.1,293,8.1000,9,1
qlearning,500,0.1,0.99,0.1,294,8.8000,12,1
qlearning,500,0.1,0.99,0.1,295,9.2000,8,1
qlearning,500,0.1,0.99,0.1,296,9.2000,8,1
qlearning,500,0.1,0.99,0.1,297,9.2000,8,1
qlearning,500,0.1,0.99,0.1,298,9.2000,8,1
qlearning,500,0.1,0.99,0.1,299,7.9000,11,1
qlearning,500,0.1,0.99,0.1,300,7.0000,10,1
qlearning,500,0.1,0.99,0.1,301,9.2000,8,1
qlearning,500,0.1,0.99,0.1,302,9.2000,8,1
qlearning,500,0.1,0.99,0.1,303,9.2000,8,1
qlearning,500,0.1,0.99,0.1,304,9.2000,8,1
qlearning,500,0.1,0.99,0.1,305,9.0000,10,1
qlearning,500,0.1,0.99,0.1,306,8.1000,9,1
qlearning,500,0.1,0.99,0.1,307,7.9000,11,1
qlearning,500,0.1,0.99,0.1,308,9.2000,8,1
qlearning,500,0.1,0.99,0.1,309,9.2000,8,1
qlearning,500,0.1,0.99,0.1,310,9.2000,8,1
qlearning,500,0.1,0.99,0.1,311,9.2000,8,1
qlearning,500,0.1,0.99,0.1,312,9.2000,8,1
qlearning,500,0.1,0.99,0.1,313,9.2000,8,1
qlearning,500,0.1,0.99,0.1,314,8.1000,9,1
qlearning,500,0.1,0.99,0.1,315,9.2000,8,1
qlearning,500,0.1,0.99,0.1,316,7.9000,11,1
qlearning,500,0.1,0.99,0.1,317,9.2000,8,1
qlearning,500,0.1,0.99,0.1,318,9.2000,8,1
qlearning,500,0.1,0.99,0.1,319,9.0000,10,1
qlearning,500,0.1,0.99,0.1,320,9.2000,8,1
qlearning,500,0.1,0.99,0.1,321,9.2000,8,1
qlearning,500,0.1,0.99,0.1,322,9.2000,8,1
qlearning,500,0.1,0.99,0.1,323,8.1000,9,1
qlearning,500,0.1,0.99,0.1,324,9.2000,8,1
qlearning,500,0.1,0.99,0.1,325,9.2000,8,1
qlearning,500,0.1,0.99,0.1,326,9.2000,8,1
qlearning,500,0.1,0.99,0.1,327,9.0000,10,1
qlearning,500,0.1,0.99,0.1,328,9.2000,8,1
qlearning,500,0.1,0.99,0.1,329,9.2000,8,1
qlearning,500,0.1,0.99,0.1,330,9.2000,8,1
qlearning,500,0.1,0.99,0.1,331,9.0000,10,1
qlearning,500,0.1,0.99,0.1,332,7.9000,11,1
qlearning,500,0.1,0.99,0.1,333,9.2000,8,1
qlearning,500,0.1,0.99,0.1,334,9.2000,8,1
qlearning,500,0.1,0.99,0.1,335,9.2000,8,1
qlearning,500,0.1,0.99,0.1,336,8.1000,9,1
qlearning,500,0.1,0.99,0.1,337,7.9000,11,1
qlearning,500,0.1,0.99,0.1,338,9.2000,8,1
qlearning,500,0.1,0.99,0.1,339,8.1000,9,1
qlearning,500,0.1,0.99,0.1,340,9.2000,8,1
qlearning,500,0.1,0.99,0.1,341,9.0000,10,1
qlearning,500,0.1,0.99,0.1,342,8.1000,9,1
qlearning,500,0.1,0.99,0.1,343,9.2000,8,1
qlearning,500,0.1,0.99,0.1,344,9.2000,8,1
qlearning,500,0.1,0.99,0.1,345,9.2000,8,1
qlearning,500,0.1,0.99,0.1,346,9.2000,8,1
qlearning,500,0.1,0.99,0.1,347,7.0000,10,1
qlearning,500,0.1,0.99,0.1,348,9.2000,8,1
qlearning,500,0.1,0.99,0.1,349,8.1000,9,1
qlearning,500,0.1,0.99,0.1,350,9.2000,8,1
qlearning,500,0.1,0.99,0.1,351,9.2000,8,1
qlearning,500,0.1,0.99,0.1,352,9.2000,8,1
qlearning,500,0.1,0.99,0.1,353,9.0000,10,1
qlearning,500,0.1,0.99,0.1,354,9.0000,10,1
qlearning,500,0.1,0.99,0.1,355,9.2000,8,1
qlearning,500,0.1,0.99,0.1,356,7.7000,13,1
qlearning,500,0.1,0.99,0.1,357,9.2000,8,1
qlearning,500,0.1,0.99,0.1,358,9.0000,10,1
qlearning,500,0.1,0.99,0.1,359,9.2000,8,1
qlearning,500,0.1,0.99,0.1,360,9.0000,10,1
qlearning,500,0.1,0.99,0.1,361,9.2000,8,1
qlearning,500,0.1,0.99,0.1,362,9.2000,8,1
qlearning,500,0.1,0.99,0.1,363,9.2000,8,1
qlearning,500,0.1,0.99,0.1,364,8.1000,9,1
qlearning,500,0.1,0.99,0.1,365,9.2000,8,1
qlearning,500,0.1,0.99,0.1,366,9.2000,8,1
qlearning,500,0.1,0.99,0.1,367,9.2000,8,1
qlearning,500,0.1,0.99,0.1,368,9.2000,8,1
qlearning,500,0.1,0.99,0.1,369,9.2000,8,1
qlearning,500,0.1,0.99,0.1,370,8.1000,9,1
qlearning,500,0.1,0.99,0.1,371,9.0000,10,1
qlearning,500,0.1,0.99,0.1,372,9.2000,8,1
qlearning,500,0.1,0.99,0.1,373,9.2000,8,1
qlearning,500,0.1,0.99,0.1,374,8.8000,12,1
qlearning,500,0.1,0.99,0.1,375,9.0000,10,1
qlearning,500,0.1,0.99,0.1,376,8.1000,9,1
qlearning,500,0.1,0.99,0.1,377,8.1000,9,1
qlearning,500,0.1,0.99,0.1,378,9.2000,8,1
qlearning,500,0.1,0.99,0.1,379,9.2000,8,1
qlearning,500,0.1,0.99,0.1,380,9.0000,10,1
qlearning,500,0.1,0.99,0.1,381,9.2000,8,1
qlearning,500,0.1,0.99,0.1,382,9.2000,8,1
qlearning,500,0.1,0.99,0.1,383,8.1000,9,1
qlearning,500,0.1,0.99,0.1,384,8.1000,9,1
qlearning,500,0.1,0.99,0.1,385,8.1000,9,1
qlearning,500,0.1,0.99,0.1,386,9.2000,8,1
qlearning,500,0.1,0.99,0.1,387,9.2000,8,1
qlearning,500,0.1,0.99,0.1,388,7.9000,11,1
qlearning,500,0.1,0.99,0.1,389,9.2000,8,1
qlearning,500,0.1,0.99,0.1,390,9.0000,10,1
qlearning,500,0.1,0.99,0.1,391,9.0000,10,1
qlearning,500,0.1,0.99,0.1,392,9.2000,8,1
qlearning,500,0.1,0.99,0.1,393,9.0000,10,1
qlearning,500,0.1,0.99,0.1,394,9.2000,8,1
qlearning,500,0.1,0.99,0.1,395,9.2000,8,1
qlearning,500,0.1,0.99,0.1,396,9.2000,8,1
qlearning,500,0.1,0.99,0.1,397,8.1000,9,1
qlearning,500,0.1,0.99,0.1,398,9.2000,8,1
qlearning,500,0.1,0.99,0.1,399,9.2000,8,1
qlearning,500,0.1,0.99,0.1,400,9.2000,8,1
qlearning,500,0.1,0.99,0.1,401,9.2000,8,1
qlearning,500,0.1,0.99,0.1,402,9.0000,10,1
qlearning,500,0.1,0.99,0.1,403,9.2000,8,1
qlearning,500,0.1,0.99,0.1,404,7.0000,10,1
qlearning,500,0.1,0.99,0.1,405,9.0000,10,1
qlearning,500,0.1,0.99,0.1,406,9.2000,8,1
qlearning,500,0.1,0.99,0.1,407,9.0000,10,1
qlearning,500,0.1,0.99,0.1,408,9.2000,8,1
qlearning,500,0.1,0.99,0.1,409,9.2000,8,1
qlearning,500,0.1,0.99,0.1,410,7.9000,11,1
qlearning,500,0.1,0.99,0.1,411,8.1000,9,1
qlearning,500,0.1,0.99,0.1,412,9.0000,10,1
qlearning,500,0.1,0.99,0.1,413,8.1000,9,1
qlearning,500,0.1,0.99,0.1,414,7.0000,10,1
qlearning,500,0.1,0.99,0.1,415,8.1000,9,1
qlearning,500,0.1,0.99,0.1,416,9.2000,8,1
qlearning,500,0.1,0.99,0.1,417,9.0000,10,1
qlearning,500,0.1,0.99,0.1,418,6.8000,12,1
qlearning,500,0.1,0.99,0.1,419,9.2000,8,1
qlearning,500,0.1,0.99,0.1,420,9.2000,8,1
qlearning,500,0.1,0.99,0.1,421,9.2000,8,1
qlearning,500,0.1,0.99,0.1,422,8.1000,9,1
qlearning,500,0.1,0.99,0.1,423,9.2000,8,1
qlearning,500,0.1,0.99,0.1,424,8.1000,9,1
qlearning,500,0.1,0.99,0.1,425,7.9000,11,1
qlearning,500,0.1,0.99,0.1,426,9.2000,8,1
qlearning,500,0.1,0.99,0.1,427,9.2000,8,1
qlearning,500,0.1,0.99,0.1,428,9.2000,8,1
qlearning,500,0.1,0.99,0.1,429,9.2000,8,1
qlearning,500,0.1,0.99,0.1,430,9.2000,8,1
qlearning,500,0.1,0.99,0.1,431,9.2000,8,1
qlearning,500,0.1,0.99,0.1,432,9.2000,8,1
qlearning,500,0.1,0.99,0.1,433,9.2000,8,1
qlearning,500,0.1,0.99,0.1,434,9.0000,10,1
qlearning,500,0.1,0.99,0.1,435,9.2000,8,1
qlearning,500,0.1,0.99,0.1,436,9.0000,10,1
qlearning,500,0.1,0.99,0.1,437,9.2000,8,1
qlearning,500,0.1,0.99,0.1,438,9.2000,8,1
qlearning,500,0.1,0.99,0.1,439,9.2000,8,1
qlearning,500,0.1,0.99,0.1,440,7.0000,10,1
qlearning,500,0.1,0.99,0.1,441,9.2000,8,1
qlearning,500,0.1,0.99,0.1,442,9.2000,8,1
qlearning,500,0.1,0.99,0.1,443,9.2000,8,1
qlearning,500,0.1,0.99,0.1,444,9.2000,8,1
qlearning,500,0.1,0.99,0.1,445,9.2000,8,1
qlearning,500,0.1,0.99,0.1,446,9.2000,8,1
qlearning,500,0.1,0.99,0.1,447,9.2000,8,1
qlearning,500,0.1,0.99,0.1,448,7.9000,11,1
qlearning,500,0.1,0.99,0.1,449,8.1000,9,1
qlearning,500,0.1,0.99,0.1,450,9.2000,8,1
qlearning,500,0.1,0.99,0.1,451,9.0000,10,1
qlearning,500,0.1,0.99,0.1,452,7.9000,11,1
qlearning,500,0.1,0.99,0.1,453,9.2000,8,1
qlearning,500,0.1,0.99,0.1,454,9.2000,8,1
qlearning,500,0.1,0.99,0.1,455,9.2000,8,1
qlearning,500,0.1,0.99,0.1,456,9.2000,8,1
qlearning,500,0.1,0.99,0.1,457,9.2000,8,1
qlearning,500,0.1,0.99,0.1,458,9.2000,8,1
qlearning,500,0.1,0.99,0.1,459,8.1000,9,1
qlearning,500,0.1,0.99,0.1,460,6.8000,12,1
